CMA_NAME,CMA_CODE,CS_CODE,CTNAME,STATUS,MUNICIPALUNIT,POPULATION_2021
Toronto,35535,3520005,0001.00,Census Tract,Toronto,599
Toronto,35535,3520005,0002.00,Census Tract,Toronto,604
Toronto,35535,3520005,0003.00,Census Tract,Toronto,457
Toronto,35535,3520005,0004.00,Census Tract,Toronto,6306
Toronto,35535,3520005,0005.00,Census Tract,Toronto,6957
Toronto,35535,3520005,0006.00,Census Tract,Toronto,119
Toronto,35535,3520005,0007.01,Census Tract,Toronto,3402
Toronto,35535,3520005,0007.02,Census Tract,Toronto,4422
Toronto,35535,3520005,0008.01,Census Tract,Toronto,8480
Toronto,35535,3520005,0008.02,Census Tract,Toronto,11591
Toronto,35535,3520005,0009.00,Census Tract,Toronto,520
Toronto,35535,3520005,0010.01,Census Tract,Toronto,5611
Toronto,35535,3520005,0010.02,Census Tract,Toronto,7468
Toronto,35535,3520005,0011.01,Census Tract,Toronto,9592
Toronto,35535,3520005,0011.02,Census Tract,Toronto,9746
Toronto,35535,3520005,0011.03,Census Tract,Toronto,6391
Toronto,35535,3520005,0012.01,Census Tract,Toronto,13554
Toronto,35535,3520005,0012.03,Census Tract,Toronto,8957
Toronto,35535,3520005,0012.04,Census Tract,Toronto,5688
Toronto,35535,3520005,0013.01,Census Tract,Toronto,6820
Toronto,35535,3520005,0013.02,Census Tract,Toronto,10439
Toronto,35535,3520005,0014.00,Census Tract,Toronto,2382
Toronto,35535,3520005,0015.00,Census Tract,Toronto,4922
Toronto,35535,3520005,0016.00,Census Tract,Toronto,11144
Toronto,35535,3520005,0017.01,Census Tract,Toronto,4787
Toronto,35535,3520005,0017.02,Census Tract,Toronto,8710
Toronto,35535,3520005,0018.00,Census Tract,Toronto,3633
Toronto,35535,3520005,0019.00,Census Tract,Toronto,3269
Toronto,35535,3520005,0020.00,Census Tract,Toronto,2298
Toronto,35535,3520005,0021.00,Census Tract,Toronto,5192
Toronto,35535,3520005,0022.00,Census Tract,Toronto,3847
Toronto,35535,3520005,0023.00,Census Tract,Toronto,3374
Toronto,35535,3520005,0024.00,Census Tract,Toronto,6891
Toronto,35535,3520005,0025.00,Census Tract,Toronto,3553
Toronto,35535,3520005,0026.00,Census Tract,Toronto,6409
Toronto,35535,3520005,0027.00,Census Tract,Toronto,4405
Toronto,35535,3520005,0028.01,Census Tract,Toronto,1290
Toronto,35535,3520005,0028.02,Census Tract,Toronto,5868
Toronto,35535,3520005,0029.00,Census Tract,Toronto,6722
Toronto,35535,3520005,0030.00,Census Tract,Toronto,6926
Toronto,35535,3520005,0031.00,Census Tract,Toronto,5871
Toronto,35535,3520005,0032.00,Census Tract,Toronto,6042
Toronto,35535,3520005,0033.00,Census Tract,Toronto,5515
Toronto,35535,3520005,0034.01,Census Tract,Toronto,5337
Toronto,35535,3520005,0034.02,Census Tract,Toronto,7992
Toronto,35535,3520005,0035.00,Census Tract,Toronto,10506
Toronto,35535,3520005,0036.00,Census Tract,Toronto,5685
Toronto,35535,3520005,0037.00,Census Tract,Toronto,4802
Toronto,35535,3520005,0038.00,Census Tract,Toronto,3605
Toronto,35535,3520005,0039.00,Census Tract,Toronto,4505
Toronto,35535,3520005,0040.00,Census Tract,Toronto,4274
Toronto,35535,3520005,0041.00,Census Tract,Toronto,3324
Toronto,35535,3520005,0042.00,Census Tract,Toronto,4423
Toronto,35535,3520005,0043.00,Census Tract,Toronto,3670
Toronto,35535,3520005,0044.01,Census Tract,Toronto,5016
Toronto,35535,3520005,0044.02,Census Tract,Toronto,4255
Toronto,35535,3520005,0045.00,Census Tract,Toronto,3247
Toronto,35535,3520005,0046.00,Census Tract,Toronto,3151
Toronto,35535,3520005,0047.02,Census Tract,Toronto,3511
Toronto,35535,3520005,0047.03,Census Tract,Toronto,1014
Toronto,35535,3520005,0047.04,Census Tract,Toronto,2773
Toronto,35535,3520005,0048.00,Census Tract,Toronto,3353
Toronto,35535,3520005,0049.00,Census Tract,Toronto,3351
Toronto,35535,3520005,0050.01,Census Tract,Toronto,8648
Toronto,35535,3520005,0050.03,Census Tract,Toronto,1085
Toronto,35535,3520005,0050.04,Census Tract,Toronto,4907
Toronto,35535,3520005,0051.00,Census Tract,Toronto,4979
Toronto,35535,3520005,0052.00,Census Tract,Toronto,4074
Toronto,35535,3520005,0053.00,Census Tract,Toronto,5823
Toronto,35535,3520005,0054.00,Census Tract,Toronto,5453
Toronto,35535,3520005,0055.00,Census Tract,Toronto,2691
Toronto,35535,3520005,0056.00,Census Tract,Toronto,4436
Toronto,35535,3520005,0057.00,Census Tract,Toronto,2287
Toronto,35535,3520005,0058.00,Census Tract,Toronto,3757
Toronto,35535,3520005,0059.00,Census Tract,Toronto,3843
Toronto,35535,3520005,0060.00,Census Tract,Toronto,2550
Toronto,35535,3520005,0061.00,Census Tract,Toronto,1202
Toronto,35535,3520005,0062.01,Census Tract,Toronto,4843
