OPERATING_AGENCY,PROGRAM_SITE,STREET_ADDRESS,POSTAL_CODE,POPULATION,CAPACITY_TYPE,CAPACITY_BEDS,CAPACITY_ROOMS,PROGRAMS_ON_SITE,LON,LAT
Canadian Mental Health Association - Toronto Branch,213 Carlton Street,213 Carlton Street,M5A 2K9,25,Beds,25,,2,-79.369736,43.663699
Christie Ossington Neighbourhood Centre,CONC West End Hotel Program,14 Roncesvalles Ave,M6R 2K3,40,Rooms,,40,1,-79.446725,43.639043
Christie Ossington Neighbourhood Centre,CONC Etobicoke Hotel Program,445 Rexdale Blvd,M9W 6P8,174,Rooms,,146,1,-79.594339,43.716029
Christie Ossington Neighbourhood Centre,CONC Men's Shelter Bloor St W,850 Bloor St W,M6G 1M2,30,Beds,30,,1,-79.424399,43.662437
Christie Ossington Neighbourhood Centre,CONC Men's Shelter Lansdowne Ave,973 Lansdowne Ave,M6H 3Z5,41,Beds,41,,1,-79.446035,43.666075
"Christie Refugee Welcome Centre, Inc.",Christie Refugee Welcome Centre,43 Christie St,M6G 3B1,51,Rooms,,29,1,-79.418926,43.665214
City of Toronto,885 Scarborough Golf Club Road,885 Scarborough Golf Club Road,M1G 1J6,42,Beds,42,,1,-79.21972,43.772564
City of Toronto,Progress Avenue Shelter,705 Progress Ave,M1H 2X1,100,Beds,100,,1,-79.246223,43.776654
City of Toronto,Scarborough Women's Shelter - Milner,20 Milner Business Ct,M1B 3M6,105,Rooms,,105,1,-79.23565,43.787901
City of Toronto,TSSS Downtown Response Program,76 Church St,M5C 2G1,53,Beds,53,,1,-79.374879,43.650955
City of Toronto,TSSS Junction Place,731 Runnymede Rd,M6N 3V7,62,Beds,62,,1,-79.483127,43.668305
City of Toronto,TSSS Scarborough Village Residence,3306 Kingston Rd,M1M 1P8,93,Beds,93,,1,-79.223698,43.734184
City of Toronto,TSSS Downtown Hotel Program,77 Ryerson Ave,M5T 2V4,66,Rooms,,64,1,-79.402727,43.649807
City of Toronto,TSSS North Hotel Program,3600 Steeles Ave W,L4L 8P5,53,Rooms,,54,1,-79.538955,43.772561
City of Toronto,TSSS North York West Hotel Program,1677 Wilson Ave,M3L 1A5,208,Rooms,,186,4,-79.514838,43.719071
City of Toronto,TSSS Birkdale Residence,1229 Ellesmere Rd,M1P 4V8,211,Rooms,,63,1,-79.267011,43.768416
City of Toronto,Robertson House,291 Sherbourne St,M5A 2R9,96,Rooms,,36,1,-79.371675,43.660549
City of Toronto,Kingston Residence SWS,4674 Kingston Rd,M1E 2P9,114,Rooms,,37,1,-79.174567,43.776579
City of Toronto,TSSS Family Residence,4222 Kingston Rd,M1E 2M6,119,Rooms,38,,1,-79.19635,43.760525
City of Toronto,TSSS Fort York Residence,38 Bathurst St,M5V 3W3,105,Beds,114,,2,-79.402869,43.641051
City of Toronto,TSSS Seaton House,339 George St,M5A 2N2,300,Beds,327,,4,-79.374204,43.659489
City of Toronto,TSSS Womens' Residence,674 Dundas St W,M5H 1H9,86,Beds,87,,1,-79.403984,43.651766
City of Toronto,Streets to Homes Assessment and Referral Centre (SHARC),129 Peter St,M5V 2H3,30,Beds,35,,1,-79.393235,43.648739
Cornerstone Place,Cornerstone Place,616 Vaughan Rd,M6C 2R5,28,Beds,28,,1,-79.440062,43.691786
COSTI Immigrant Services,COSTI Hotel Program Dixon,640 Dixon Rd.,M9W 1J1,520,Rooms,,206,2,-79.576693,43.692061
COSTI Immigrant Services,COSTI Uptown Hotel Program,55 Hallcrown Pl,M2J 4R1,690,Rooms,,222,2,-79.322992,43.771033
COSTI Immigrant Services,COSTI Reception Centre,100 Lippincott St,M5S 2P1,14,Beds,16,,2,-79.407078,43.65764
Covenant House Toronto,CHT Thrive Transitional Shelter,18 Fourteenth Street,M8V 3H9,64,Beds,64,,1,-79.513815,43.599827
Covenant House Toronto,Covenant House - Madison,158 Madison Ave.,M5R 2S5,10,Beds,10,,1,-79.405649,43.674075
Covenant House Toronto,Covenant House McGill St,21 McGill St,M5B 1H3,28,Beds,28,,1,-79.381573,43.659818
Covenant House Toronto,Covenant House Gerrard St E,20 Gerrard St E,M5B 2P3,134,Beds,135,,4,-79.381496,43.65946
Dixon Hall,DH Warming Centre - 81 Elizabeth,81 Elizabeth St.,M5G 1P4,63,Beds,75,,1,-79.384684,43.65412
Dixon Hall,Dixon Hall - Warming Centre North York,12 Holmes Ave,M2N 4N4,6,Beds,18,,1,-79.41425,43.778285
Dixon Hall,Dixon Hall 351 Lake Shore Blvd E Respite,351 Lake Shore Blvd E,M5A 1C1,78,Beds,78,,1,-79.362124,43.647189
Dixon Hall,Dixon Hall 354 George St,354 George St,M5A 2N3,50,Beds,50,,1,-79.374755,43.659391
Dixon Hall,Dixon Hall Schoolhouse,349 George St,M5A 2N2,10,Beds,19,,1,-79.374502,43.66008
Dixon Hall,Dixon Hall Heyworth House,2714 Danforth Ave,M4C 1L7,61,Beds,62,,1,-79.298313,43.689077
Eva's Initiatives,Eva's Phoenix,60 Brant St,M5V 3G9,47,Beds,50,,1,-79.399009,43.647014
Eva's Initiatives,Eva's Place,360 Lesmill Rd,M3B 2T5,37,Beds,40,,1,-79.36115,43.763282
Eva's Initiatives,Eva's Satellite,25 Canterbury Pl,M3N 0E3,33,Beds,33,,1,-79.387361,43.645415
FCJ Refugee Centre,FCJ - Indian Rd,302 Indian Rd,M6R 2X6,7,Beds,8,,1,-79.456727,43.653371
Fife House Foundation,Fife House Sherbourne St,490 Sherbourne St,M4X 1K9,9,Beds,11,,1,-79.375598,43.667536
Fife House Foundation,Fife House Denison Ave,70 Denison Ave,M5T 2M8,5,Beds,5,,1,-79.401946,43.650163
Fred Victor Centre,Fred Victor Centre Fatima House,1059 College Street,M6H 1B1,36,Beds,36,,1,-79.431002,43.652612
Fred Victor Centre,Fred Victor Centre 1A Strachan Ave Respite,1A Strachan Ave,M6K 3C3,65,Beds,70,,1,-79.410455,43.638338
Fred Victor Centre,Fred Victor Uptown Hotel Program,185 Yorkland Blvd,M2J 4R2,282,Rooms,,260,1,-79.336545,43.770737
Fred Victor Centre,Toronto Community Hostel (MUC),191 Spadina Rd,M5R 2T9,22,Beds,22,,1,-79.406396,43.673514
Fred Victor Centre,Fred Victor Centre Transition to Housing Dundas St E,386 Dundas St E,M5A 2A5,36,Beds,37,,1,-79.368342,43.659051
Fred Victor Centre,Fred Victor Mary Sheffield House,512 Jarvis St,M4Y 2H6,23,Beds,25,,1,-79.379468,43.667552
Fred Victor Centre,Fred Victor Centre Bethlehem United Shelter,1161 Caledonia Rd,M6A 2W9,66,Beds,70,,1,-79.467107,43.715576
Fred Victor Centre,Adelaide Resource Centre for Women,67 Adelaide St E,M5C 1K6,39,Beds,52,,1,-79.374957,43.651107
Good Shepherd Ministries,Good Shepherd Centre West End Hotel Program,335 Jarvis St,M5B 2C2,47,Rooms,,47,1,-79.375577,43.660119
