NUMBER, NAME, OD_COUNT
73, Moss Park, 448
168, Downtown Yonge East, 242
165, Harbourfront-CityPlace, 165
85, South Parkdale, 146
78, Kensignton-Chinatown, 144
167, Church-Wellesley, 141
170, Yonge-Bay Corridor, 90
164, Wellington Place, 84
166, St Lawrence-East Bayfront-The Islands, 82
163, Fort York-Liberty Village, 69
6, Kingsview Village-The Westway, 64
74, North St.James Town, 45
81, Trinity-Bellwoods, 44
95, Annex, 42
62, East End-Danforth, 38
136, West Hill, 35
169, Bay-Cloverhill, 34
162, West Queen West, 33
154, Oakdale-Beverley Heights, 31
79, University, 29
72, Regent Park, 27
70, South Riverdale, 22
171, Junction-Wallace Emerson, 22
121, Oakridge, 21
158, Islington, 20
113, Weston, 29
84, Little Portugal, 18
160, Rosedale-Moore Park, 26
98, Mimico-Queensway, 16
138, Eglinton East, 15
88, High Park North, 15
25, Rockcliffe-Smythe, 15
111, Gelnfield-Jane Heights, 15
83, Dufferin Grove, 14
61, Playter Estates-Danforth, 14
67, Taylor-Massey, 14
124, Newtonbrook West, 13
71, Kennedy Park, 13
63, West Huber-Clairville, 13
1, Cabbagetown-South St.James Town, 13
36, The Beaches, 13
53, Greenwood-Coxwell, 12
118, Danforth, 12
65, Rocensvalles, 12
66, Tam O'Shanter-Sullivan, 12
86, Henry Farm, 12
87, High Park-Swansea, 12
18, Dovercourt Village, 11
119, Wexford/Maryvale, 11
68, New Toronto, 11
106, North Riverdale, 11
172, Humewood=Cedarvale, 11
126, Oakwood Village, 10
141, Woodbine Corridor, 10
64, Golfdale-Cedarbrae-Woburn, 10
107, Dorset Park, 10
122, Birchcliffe-Cliffside, 9
27, York University Heights, 9
91, Weston-Pelham Park, 8
123, Cliffcrest, 8
16, Stonegate-Queensway, 8
28, Rustic, 8
100, Clairlea-Birchmount, 8
120, Yonge-Eglinton, 8
94, Ionview, 7
142, Yorkdale-Glen Park, 7
125, Woburn North, 7
174, North Toronto, 7
173, Wychwood, 7
115, Briar Hill-Belgravia, 7
31, Black Creek, 7
108, South Eglinton-Davisville, 7
24, Mount Dennis, 7
38, Forest Hill South, 6
139, Lansing-Westgate, 6
58, Old East York, 6
101, Scarborough Village, 6
135, Morningside, 6
92, Palmerston-Little Italy, 5
90, Downsview, 5
128, Willowridge-Martingrove-Richview, 5
21, Agincourt South-Malvern West, 5
109, Caledonia-Fairbank, 5
80, Humber Summit, 5
155, Willowdale West, 5
96, JunctionArea, 5
43, Casa Loma, 5
37, Victoria Village, 5
7, Corso Italia-Davenport, 5
