CTNAME,status,municipality,population
CT 0001,Census Tract,Toronto,599
CT 0002,Census Tract,Toronto,604
CT 0003,Census Tract,Toronto,457
CT 0004,Census Tract,Toronto,6306
CT 0005,Census Tract,Toronto,6957
CT 0006,Census Tract,Toronto,119
CT 0007.01,Census Tract,Toronto,3402
CT 0007.02,Census Tract,Toronto,4422
CT 0008.01,Census Tract,Toronto,8480
CT 0008.02,Census Tract,Toronto,11591
CT 0009,Census Tract,Toronto,520
CT 0010.01,Census Tract,Toronto,5611
CT 0010.02,Census Tract,Toronto,7468
CT 0011.01,Census Tract,Toronto,9592
CT 0011.02,Census Tract,Toronto,9746
CT 0011.03,Census Tract,Toronto,6391
CT 0012.01,Census Tract,Toronto,13554
CT 0012.03,Census Tract,Toronto,8957
CT 0012.04,Census Tract,Toronto,5688
CT 0013.01,Census Tract,Toronto,6820
CT 0013.02,Census Tract,Toronto,10439
CT 0014,Census Tract,Toronto,2382
CT 0015,Census Tract,Toronto,4922
CT 0016,Census Tract,Toronto,11144
CT 0017.01,Census Tract,Toronto,4787
CT 0017.02,Census Tract,Toronto,8710
CT 0018,Census Tract,Toronto,3633
CT 0019,Census Tract,Toronto,3269
CT 0020,Census Tract,Toronto,2298
CT 0021,Census Tract,Toronto,5192
CT 0022,Census Tract,Toronto,3847
CT 0023,Census Tract,Toronto,3374
CT 0024,Census Tract,Toronto,6891
CT 0025,Census Tract,Toronto,3553
CT 0026,Census Tract,Toronto,6409
CT 0027,Census Tract,Toronto,4405
CT 0028.01,Census Tract,Toronto,1290
CT 0028.02,Census Tract,Toronto,5868
CT 0029,Census Tract,Toronto,6722
CT 0030,Census Tract,Toronto,6926
CT 0031,Census Tract,Toronto,5871
CT 0032,Census Tract,Toronto,6042
CT 0033,Census Tract,Toronto,5515
CT 0034.01,Census Tract,Toronto,5337
CT 0034.02,Census Tract,Toronto,7992
CT 0035,Census Tract,Toronto,10506
CT 0036,Census Tract,Toronto,5685
CT 0037,Census Tract,Toronto,4802
CT 0038,Census Tract,Toronto,3605
CT 0039,Census Tract,Toronto,4505
CT 0040,Census Tract,Toronto,4274
CT 0041,Census Tract,Toronto,3324
CT 0042,Census Tract,Toronto,4423
CT 0043,Census Tract,Toronto,3670
CT 0044.01,Census Tract,Toronto,5016
CT 0044.02,Census Tract,Toronto,4255
CT 0045,Census Tract,Toronto,3247
CT 0046,Census Tract,Toronto,3151
CT 0047.02,Census Tract,Toronto,3511
CT 0047.03,Census Tract,Toronto,1014
CT 0047.04,Census Tract,Toronto,2773
CT 0048,Census Tract,Toronto,3353
CT 0049,Census Tract,Toronto,3351
CT 0050.01,Census Tract,Toronto,8648
CT 0050.03,Census Tract,Toronto,1085
CT 0050.04,Census Tract,Toronto,4907
CT 0051,Census Tract,Toronto,4979
CT 0052,Census Tract,Toronto,4074
CT 0053,Census Tract,Toronto,5823
CT 0054,Census Tract,Toronto,5453
CT 0055,Census Tract,Toronto,2691
CT 0056,Census Tract,Toronto,4436
CT 0057,Census Tract,Toronto,2287
CT 0058,Census Tract,Toronto,3757
CT 0059,Census Tract,Toronto,3843
CT 0060,Census Tract,Toronto,2550
CT 0061,Census Tract,Toronto,1202
CT 0062.01,Census Tract,Toronto,4843
CT 0062.03,Census Tract,Toronto,4224
CT 0062.04,Census Tract,Toronto,8524
CT 0063.03,Census Tract,Toronto,4869
CT 0063.04,Census Tract,Toronto,4778
CT 0063.05,Census Tract,Toronto,6551
CT 0063.06,Census Tract,Toronto,6217
CT 0064,Census Tract,Toronto,4963
CT 0065.01,Census Tract,Toronto,2650
CT 0065.02,Census Tract,Toronto,11120
CT 0066,Census Tract,Toronto,7062
CT 0067,Census Tract,Toronto,1692
CT 0068,Census Tract,Toronto,2451
CT 0069,Census Tract,Toronto,4847
CT 0070,Census Tract,Toronto,3302
CT 0071,Census Tract,Toronto,3342
CT 0072.01,Census Tract,Toronto,4509
CT 0072.02,Census Tract,Toronto,2985
CT 0073,Census Tract,Toronto,2478
CT 0074,Census Tract,Toronto,3723
CT 0075,Census Tract,Toronto,4014
CT 0076,Census Tract,Toronto,4237
CT 0077,Census Tract,Toronto,4493
CT 0078,Census Tract,Toronto,6282
CT 0079,Census Tract,Toronto,7424
CT 0080.01,Census Tract,Toronto,3707
CT 0080.02,Census Tract,Toronto,4642
CT 0081,Census Tract,Toronto,2848
CT 0082,Census Tract,Toronto,2647
CT 0083,Census Tract,Toronto,3869
CT 0084,Census Tract,Toronto,3552
CT 0085,Census Tract,Toronto,4160
CT 0086,Census Tract,Toronto,2528
CT 0087,Census Tract,Toronto,4814
CT 0088,Census Tract,Toronto,3127
CT 0089,Census Tract,Toronto,5349
CT 0090,Census Tract,Toronto,4020
CT 0091.01,Census Tract,Toronto,5739
CT 0091.02,Census Tract,Toronto,3421
CT 0092,Census Tract,Toronto,6818
CT 0093,Census Tract,Toronto,5358
CT 0094,Census Tract,Toronto,4699
CT 0095,Census Tract,Toronto,2913
CT 0096.01,Census Tract,Toronto,1610
CT 0096.02,Census Tract,Toronto,3156
CT 0097.01,Census Tract,Toronto,3929
CT 0097.03,Census Tract,Toronto,2078
CT 0097.04,Census Tract,Toronto,5031
CT 0098,Census Tract,Toronto,6976
CT 0099,Census Tract,Toronto,6282
CT 0100,Census Tract,Toronto,2961
CT 0101,Census Tract,Toronto,3246
CT 0102.02,Census Tract,Toronto,4561
